# DLxJTK regulatory element scores computed on 2022-03-08 09:18:16
# pyDL file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pydl_results.tsv
# pyJTK file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pyjtk_results.tsv
	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
CNAG_06839	0.150917	0.20076786053992354	0.00041288822369205786	0.00041288822369205786	3.9110071593517164
CNAG_05876	0.08592000000000001	0.11430106997614735	0.0011420362653821491	0.0011420362653821491	3.930004269341759
CNAG_01446	3e-06	3.9909591472118494e-06	1.0	1.0	3.991026705253735
CNAG_01751	3e-06	3.9909591472118494e-06	1.0	1.0	3.991026705253735
CNAG_05662	3e-06	3.9909591472118494e-06	1.0	1.0	3.991026705253735
CNAG_06346	3e-06	3.9909591472118494e-06	1.0	1.0	3.991026705253735
CNAG_05221	0.086579	0.11517775066881825	0.0011420362653821491	0.0011420362653821491	4.021123475365771
CNAG_00467	0.06966599999999999	0.09267805331655356	0.0015782932322102186	0.0015782932322102186	4.386518818605536
CNAG_04648	0.091663	0.12194109610362658	0.0011420362653821491	0.0011420362653821491	4.771867579829491
CNAG_07686	0.138346	0.18404441139339014	0.0005842763650073882	0.0005842763650073882	4.885966717566716
CNAG_04742	0.041815	0.055627318913554484	0.002949105775274055	0.002949105775274055	4.924277605180269
CNAG_05053	0.139691	0.1858336914110568	0.0005842763650073882	0.0005842763650073882	5.029857912092223
CNAG_03893	0.28248	0.3757887133014677	9.432073996906e-05	9.432073996906e-05	5.049961230808858
CNAG_07784	4e-06	5.3212788629491326e-06	1.0	1.0	5.32143486175745
CNAG_04663	0.018308	0.024355493355718183	0.00715476931376985	0.00715476931376985	5.403949324422011
CNAG_03907	0.008028	0.01067980667793891	0.01639535426089891	0.01639535426089891	5.435710067359182
CNAG_03453	0.058621000000000006	0.07798467205623527	0.0021651646086239336	0.0021651646086239336	5.841776167298555
CNAG_01341	1.9e-05	2.527607459900838e-05	0.6142090372520289	0.6142090372520289	5.860528195622609
CNAG_04697	0.148284	0.19726512872838728	0.0005842763650073882	0.0005842763650073882	6.016333480280241
CNAG_00890	0.014599	0.0194213375300486	0.009490433598653623	0.009490433598653623	6.348055442417432
CNAG_04642	0.206985	0.2753562263618816	0.00028931903680911724	0.00028931903680911724	6.546041007115629
CNAG_06932	5e-06	6.6515985786864166e-06	1.0	1.0	6.651899522334711
CNAG_07519	5e-06	6.6515985786864166e-06	1.0	1.0	6.651899522334711
CNAG_05612	0.551529	0.7337099025008681	1.8408027780551308e-05	1.8408027780551308e-05	7.273247186737353
CNAG_05374	0.073526	0.09781308741929948	0.0018717289204170761	0.0018717289204170761	7.888906200248312
CNAG_00393	6e-06	7.981918294423699e-06	1.0	1.0	7.982434813003901
CNAG_00967	0.037251	0.04955573973092954	0.00398915965652886	0.00398915965652886	8.214306513519443
CNAG_00423	0.021134	0.028114976872391742	0.00715476931376985	0.00715476931376985	8.309047213297978
CNAG_01704	0.021216	0.0282240630890822	0.00715476931376985	0.00715476931376985	8.406058423361491
CNAG_06227	0.6135609999999999	0.8162322951074832	1.8408027780551308e-05	1.8408027780551308e-05	10.013741437637412
CNAG_01047	1.9e-05	2.527607459900838e-05	0.741402605480225	0.741402605480225	10.307423393686047
CNAG_07982	0.27679000000000004	0.36821919411892257	0.00020096368569239319	0.00020096368569239319	10.438419045651276
CNAG_00063	0.094769	0.1260730691407066	0.0015782932322102186	0.0015782932322102186	11.04162586898707
CNAG_05668	0.030962	0.04118935903865776	0.005359873975059847	0.005359873975059847	11.141275654965252
CNAG_02038	0.055295000000000004	0.07356002868169306	0.002949105775274055	0.002949105775274055	11.385280608482235
CNAG_06647	0.374474	0.4981701452310034	9.432073996906e-05	9.432073996906e-05	11.764910130474005
CNAG_05278	9e-06	1.1972877441635547e-05	1.0	1.0	11.974605725746928
CNAG_06453	9e-06	1.1972877441635547e-05	1.0	1.0	11.974605725746928
CNAG_02849	9e-06	1.1972877441635547e-05	1.0	1.0	11.974605725746928
CNAG_06567	0.010553	0.014038863960175549	0.01639535426089891	0.01639535426089891	12.30180711264997
CNAG_01149	0.574343	0.7640598164956984	2.814707803468329e-05	2.814707803468329e-05	12.564930120416085
CNAG_00320	0.099248	0.1320315711474939	0.0015782932322102186	0.0015782932322102186	12.682270577113158
CNAG_02193	0.010813	0.014384747086267241	0.01639535426089891	0.01639535426089891	13.230477821134937
CNAG_05841	0.03402	0.04525747672938237	0.005359873975059847	0.005359873975059847	14.777701859778245
CNAG_01209	0.276787	0.3682152031597754	0.00028931903680911724	0.00028931903680911724	15.652965980707798
CNAG_01276	0.23970500000000003	0.31888428746080544	0.00041288822369205786	0.00041288822369205786	15.671078863607182
CNAG_06747	0.011484999999999999	0.015278721935242696	0.01639535426089891	0.01639535426089891	15.84501209017481
CNAG_02685	1.2e-05	1.5963836588847398e-05	1.0	1.0	15.967920845979247
CNAG_02353	0.05451	0.07251572770483931	0.0034691327159014572	0.0034691327159014572	17.246748141217715
CNAG_04662	0.563434	0.7495473587167204	4.256437478256426e-05	4.256437478256426e-05	17.956859169139207
CNAG_03915	0.036498	0.04855400898497937	0.005359873975059847	0.005359873975059847	18.246659660416302
CNAG_07574	1.4000000000000001e-05	1.862447602032196e-05	1.0	1.0	18.630954943873327
CNAG_02044	1.4000000000000001e-05	1.862447602032196e-05	1.0	1.0	18.630954943873327
CNAG_02375	0.113232	0.15063476205236406	0.0015782932322102186	0.0015782932322102186	18.833606175246533
CNAG_03374	0.180492	0.2401120661328537	0.0008200890291560615	0.0008200890291560615	18.988408420255624
CNAG_04104	0.037181	0.049462617350827916	0.005359873975059847	0.005359873975059847	19.290019487450355
CNAG_06544	0.14727200000000001	0.19591884517606115	0.0011420362653821491	0.0011420362653821491	19.79013902155571
CNAG_01542	1.4999999999999999e-05	1.9954795736059248e-05	1.0	1.0	19.96276157619729
CNAG_04876	0.02833	0.03768795754683723	0.00715476931376985	0.00715476931376985	20.003335266590565
CNAG_04024	0.038468	0.05117473882498181	0.005359873975059847	0.005359873975059847	21.362723308229683
CNAG_01438	0.068694	0.09138498255285693	0.002949105775274055	0.002949105775274055	21.828018683040444
CNAG_04153	0.119979	0.15961042917444349	0.0015782932322102186	0.0015782932322102186	22.404722620643536
CNAG_00605	1.7e-05	2.261543516753381e-05	1.0	1.0	22.627024637690976
CNAG_05391	0.47608900000000004	0.6333505831456474	9.432073996906e-05	9.432073996906e-05	24.176163239298422
CNAG_05352	0.7312310000000001	0.9727710160582892	2.814707803468329e-05	2.814707803468329e-05	25.93042170883123
CNAG_00770	0.32894	0.437595367294622	0.00028931903680911724	0.00028931903680911724	26.27294186557954
CNAG_00349	2e-05	2.6606394314745666e-05	1.0	1.0	26.625255612321745
CNAG_05541	0.010975	0.01460025888021668	0.02136037102283866	0.02136037102283866	30.54157464538222
CNAG_03999	2.3e-05	3.059735346195751e-05	1.0	1.0	30.626029270262034
CNAG_05661	0.302161	0.4019707356268932	0.00041288822369205786	0.00041288822369205786	31.38927329114497
CNAG_03712	0.134849	0.17939228334745688	0.0015782932322102186	0.0015782932322102186	31.80998734035919
CNAG_05732	0.002542	0.003381672717404174	0.0931842481503503	0.0931842481503503	34.031390999239036
CNAG_00373	0.002555	0.0033989668737087588	0.0931842481503503	0.0931842481503503	34.52797848092493
CNAG_00009	0.025788	0.034306284829433056	0.009490433598653623	0.009490433598653623	34.92555743178667
CNAG_00274	0.019614	0.026092890904471068	0.012511323172989766	0.012511323172989766	35.06544597711516
CNAG_03679	2.8000000000000003e-05	3.7248952040643925e-05	1.0	1.0	37.30067168219872
CNAG_00815	2.9999999999999997e-05	3.9909591472118496e-05	1.0	1.0	39.973198464448416
CNAG_04936	0.233567	0.31071878504561	0.0008200890291560615	0.0008200890291560615	41.14775124773773
CNAG_06893	0.15223299999999998	0.20251856128583384	0.0015782932322102186	0.0015782932322102186	45.76609075258527
CNAG_04324	0.21760100000000002	0.2894789004641485	0.0009810626472691057	0.0009810626472691057	46.70450493958613
CNAG_03237	0.198457	0.264011259826074	0.0011420362653821491	0.0011420362653821491	48.42643215555854
CNAG_02840	0.301595	0.4012177746677859	0.0005842763650073882	0.0005842763650073882	50.618931329895254
CNAG_04026	0.120538	0.16035407789554065	0.0021651646086239336	0.0021651646086239336	50.78116646017511
CNAG_06687	0.25056	0.33332490797513364	0.0008200890291560615	0.0008200890291560615	50.79796209427621
CNAG_06149	0.022257	0.029608925913164705	0.012511323172989766	0.012511323172989766	51.21986344095778
CNAG_04239	0.202716	0.2696770914953991	0.0011420362653821491	0.0011420362653821491	51.61156551845472
CNAG_03057	0.092663	0.12327141581936385	0.002949105775274055	0.002949105775274055	53.57393512618275
CNAG_03587	0.094605	0.12585489670732564	0.002949105775274055	0.002949105775274055	57.01322221924566
CNAG_01348	4.3e-05	5.720374777670318e-05	1.0	1.0	57.3909912044245
CNAG_06534	0.09532	0.12680607530407784	0.002949105775274055	0.002949105775274055	58.31563484193098
CNAG_07464	0.041214999999999995	0.054829127084112125	0.00715476931376985	0.00715476931376985	61.569750305717214
CNAG_04583	0.573566	0.7630261580765706	0.00013832846754815092	0.00013832846754815092	62.62708652108876
