# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00065	80.0	0.12470018440554864	1.353717325585417	0.993384	1.3215183204979652	1e-06	1.0	1.3215183204979652	2307917326817.136
CNAG_00066	80.0	0.20271273261116488	1.6104937017632834	0.724983	0.9644591784743628	1.0	1000000.0	964459.1784743628	8.971230564778963e+29
CNAG_00067	80.0	0.1826928477336014	1.728349624303489	0.8433	1.121858616281251	1e-06	1.0	1.121858616281251	1411936491970.8613
CNAG_00068	70.0	0.44336572509895067	2.4447090198871204	0.01504	0.020008008524688738	1e-06	1.0	0.020008008524688738	8029630.11647496
CNAG_00069	80.0	0.08788498481902361	0.8150913514195912	0.99993	1.3302265933571815	1e-06	1.0	1.3302265933571815	2353843351912.533
CNAG_00070	80.0	0.13902298720731884	1.3006736292812988	0.980726	1.3046791335361627	1e-06	1.0	1.3046791335361627	2220812222697.322
CNAG_00072	70.0	0.2729563252133125	2.344860802504056	0.261268	0.34756997149124846	1e-06	1.0	0.34756997149124846	41988540022.57232
CNAG_00073	70.0	0.17406228275421987	1.853077312386112	0.884471	1.1766292092978705	1e-06	1.0	1.1766292092978705	1628994522695.5188
CNAG_00074	80.0	0.2118662077792757	2.3132770571418604	0.662809	0.8817478804681129	1e-06	1.0	0.8817478804681129	685542313960.3396
CNAG_00075	70.0	0.6057607134413252	3.9537496272531576	0.001916	0.0025488925753526345	1e-06	1.0	0.0025488925753526345	19108.69297823841
CNAG_00076	80.0	0.312299085010697	2.7205339998905673	0.118227	0.15727970903247177	1e-06	1.0	0.15727970903247177	3890774685.8819337
CNAG_00077	60.0	0.3898291424247386	2.5984727513019585	0.029115	0.038732258523691	1e-06	1.0	0.038732258523691	58144454.05662247
CNAG_00078	80.0	0.2696603848061713	3.427434635663281	0.278042	0.3698847544030257	1e-06	1.0	0.3698847544030257	50606103865.11753
CNAG_00079	80.0	0.26180058594346545	2.5505722763559766	0.32164	0.42788403336973974	1e-06	1.0	0.42788403336973974	78339545795.91345
CNAG_00080	70.0	0.07906820869447313	2.1210531201347553	0.999988	1.3303037519006942	1e-06	1.0	1.3303037519006942	2354252972932.027
CNAG_00081	80.0	0.18611391054644455	1.7890744341171805	0.825243	1.0978370331741827	1e-06	1.0	1.0978370331741827	1323166280109.1094
CNAG_00082	80.0	0.12649661835124174	1.4760161007649621	0.992304	1.320081575204969	1e-06	1.0	1.320081575204969	2300398056741.1646
CNAG_00083	80.0	0.1559138438241561	1.5880743664254144	0.94802	1.261169696913259	1e-06	1.0	1.261169696913259	2005955472943.487
