# pyJTK periodicity scores computed on 2022-03-08 09:17:55
# Calculation time: 0.001135 seconds
# Input file: /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested: 60.0000, 70.0000, 80.0000
probe	p-value	amp	period	lag	tau
CNAG_00334	1.0	2799.2024999999994	70.95238095238095	40.226190476190474	-21.0
CNAG_00335	1.0	4.425749999999997	70.95238095238095	44.654761904761905	-15.0
CNAG_00336	1.0	1.6417500000000014	70.95238095238095	35.32142857142857	-49.0
CNAG_00337	1.0	18.0435	70.95238095238095	42.98809523809524	-39.0
CNAG_00342	1.0	6.265499999999999	70.95238095238095	43.55952380952381	-25.0
CNAG_00343	0.2252303955977127	4.4655000000000005	65.0	32.75	-121.0
CNAG_00344	1.0	1.7160000000000002	70.95238095238095	26.892857142857142	-83.0
CNAG_00345	1.0	45.73274999999998	70.95238095238095	38.083333333333336	-63.0
CNAG_00346	0.016395354260898914	10.506000000000002	70.0	27.75	-143.0
CNAG_00347	1.0	1.3207499999999994	70.95238095238095	39.845238095238095	-89.0
CNAG_00348	1.0	2.3197500000000013	70.95238095238095	40.51190476190476	-15.0
CNAG_00349	1.0	25.7655	70.95238095238095	29.178571428571427	-35.0
CNAG_00351	1.0	14.984249999999994	70.95238095238095	37.607142857142854	-59.0
CNAG_00352	1.0	3.6472499999999997	70.95238095238095	43.892857142857146	-39.0
CNAG_00353	0.14623145653648356	4.656749999999997	80.0	27.75	-125.0
CNAG_00354	0.009490433598653624	13.589250000000021	80.0	27.75	-147.0
CNAG_00355	0.4164366890620728	9.280499999999996	80.0	67.75	115.0
CNAG_00356	0.3407601255807152	55.93799999999996	80.0	27.75	-117.0
CNAG_00357	0.07384724087003963	2.7240000000000038	70.0	57.75	131.0
CNAG_00358	1.0	3.966000000000003	70.95238095238095	33.464285714285715	-53.0
CNAG_00359	0.002949105775274055	15.012750000000002	70.0	27.75	-155.0
CNAG_00360	1.0	7.641000000000002	70.95238095238095	34.70238095238095	-69.0
CNAG_00361	1.0	31.779750000000014	70.95238095238095	40.94047619047619	-89.0
CNAG_00362	0.04568219289251269	2.811000000000001	60.0	40.25	135.0
CNAG_00363	0.02767157727063674	10.812749999999996	70.0	7.75	-139.0
CNAG_00364	0.18189698446557426	20.53350000000001	70.0	32.75	-123.0
CNAG_00365	0.009490433598653624	10.308749999999993	70.0	47.75	147.0
CNAG_00366	0.4164366890620728	0.14475000000000005	60.0	42.75	115.0
CNAG_00367	1.0	4.6380000000000035	70.95238095238095	22.988095238095237	-47.0
CNAG_00368	1.0	5.434500000000002	70.95238095238095	44.654761904761905	-41.0
CNAG_00369	0.614209037252029	3.70425	75.0	35.25	-111.0
CNAG_00370	1.0	2936.4450000000015	70.95238095238095	32.36904761904762	-51.0
CNAG_00371	1.0	3.3682499999999997	70.95238095238095	33.70238095238095	-73.0
CNAG_00372	0.614209037252029	1.6800000000000015	80.0	72.75	111.0
CNAG_00373	0.0931842481503503	48.2625	70.0	17.75	-129.0
CNAG_00374	1.0	4.620750000000001	70.95238095238095	33.70238095238095	-93.0
CNAG_00375	0.741402605480225	2.0744999999999987	70.0	32.75	-109.0
CNAG_00376	0.614209037252029	0.44025000000000014	70.0	12.75	-111.0
CNAG_00377	1.0	17.205749999999995	70.95238095238095	33.654761904761905	-49.0
CNAG_00378	1.0	1.19475	70.95238095238095	30.13095238095238	-41.0
CNAG_00383	1.0	4.335000000000001	70.95238095238095	32.94047619047619	-91.0
CNAG_00384	0.2252303955977127	3.660000000000002	60.0	17.75	-121.0
CNAG_00385	0.741402605480225	120.30750000000006	80.0	22.75	-109.0
CNAG_00386	1.0	74.49000000000004	70.95238095238095	37.17857142857143	-39.0
CNAG_00387	0.02767157727063674	4.835999999999998	80.0	27.75	-139.0
CNAG_00388	0.741402605480225	3.110999999999997	80.0	17.75	-109.0
CNAG_00389	1.0	3.5760000000000005	70.95238095238095	40.98809523809524	-29.0
CNAG_00390	1.0	1.1257499999999983	70.95238095238095	41.32142857142857	-55.0
CNAG_00391	1.0	8.136750000000003	70.95238095238095	38.55952380952381	-97.0
CNAG_00392	0.00398915965652886	3.044999999999999	80.0	17.75	-153.0
CNAG_00393	1.0	47.120250000000006	70.95238095238095	26.321428571428573	-77.0
CNAG_00394	1.0	105.54225000000002	70.95238095238095	28.511904761904763	-69.0
CNAG_00395	1.0	1.361250000000001	70.95238095238095	28.511904761904763	-61.0
CNAG_00396	0.8914012606101419	5.300999999999998	80.0	37.75	-107.0
CNAG_00397	0.11701150627760835	1.5194999999999999	70.0	37.75	127.0
CNAG_00398	0.02767157727063674	7.867499999999996	70.0	32.75	-139.0
CNAG_00399	1.0	14.96325	70.95238095238095	28.321428571428573	-97.0
CNAG_00400	1.0	91.524	70.95238095238095	31.75	-43.0
CNAG_00401	1.0	9.365250000000001	70.95238095238095	32.75	-57.0
CNAG_00402	1.0	16.9035	70.95238095238095	41.892857142857146	-39.0
CNAG_00403	1.0	3.3412500000000014	70.95238095238095	38.892857142857146	-55.0
CNAG_00404	1.0	0.9427500000000004	70.95238095238095	37.36904761904762	-31.0
