time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00099	1552.36	10008.8	4186.04	1379.37	1935.04	3619.6	5711.99	4041.9	2122.44	1694.1	1597.93	1858.94	2122.31	2739.93	2329.65	1725.88	1280.07	1239.77	1433.67	1692.91	2028.25	2117.49	1828.41	1574.6
CNAG_00100	3127.34	1776.18	570.26	499.847	1747.25	3714.65	5783.71	7144.54	6179.69	6144.87	5672.9	6759.86	8603.11	10308.9	10432.4	7410	6219.1	5414.16	5269.42	5631.87	6017.5	6389.01	6471.73	5550.63
CNAG_00101	439.736	1399.07	3626.8	3955.31	3190.29	2020.34	1673.73	1262.23	1270.39	1721.55	2113.9	2097.16	1709.7	1611.89	1482.69	1625.84	1781.86	1922.38	1796.25	1785.43	1672.96	1602.88	1564.13	1793.96
CNAG_00104	5576.88	23750	28292.6	11217.8	13927.5	22693.5	28938.6	23333.3	16686.3	11079.8	7254.16	7150.71	9493.06	10736.2	10493	7777.08	7667.12	7430.86	7472.64	8391.7	8782.2	8358.4	8492.96	7593.49
CNAG_00105	91.4888	66.0798	60.6074	58.8055	57.1068	89.5229	68.5524	30.7087	44.0894	42.1007	42.6116	40.3767	51.4783	38.6703	34.3636	40.1733	49.1548	52.508	51.797	41.3384	44.8423	70.3016	32.7116	48.514
CNAG_00106	1350.69	6878	2308.59	1245.14	1393.62	2003.77	2416.21	2905.68	2559.24	2224.02	1937.9	1718.43	1639.51	1942	2026.44	2034.66	1653.85	1552.88	1541.89	1648.62	1732.47	1918.77	2273.46	2002.78
CNAG_00107	1037.79	51.3265	1.38008	1.27915	1.09989	2.21044	5.27326	122.866	301.793	249.989	236.498	219.763	292.589	323.863	425.683	587.054	538.182	527.677	506.305	436.77	524.841	637.985	886.891	818.464
CNAG_00108	1928.21	1747.64	1907.75	1866.44	2553.33	3036.04	3829.44	3621.48	2914.68	2886.51	3225.23	3931.77	3820.21	4297.71	3846.53	3386.95	3059.33	3015.64	3009.42	3171.48	3308.32	3262.35	3013.54	2722
CNAG_00109	717.733	1211.51	3048.94	1359.34	1966.83	2166.75	2670.54	2074.72	2525.25	2278.61	1741.8	1720.91	2069.51	1875.79	2115.22	1546.19	2033.26	1899.07	1734.82	1643.35	1878.5	1791.58	1656.3	1523.97
CNAG_00110	50.5757	527.076	2511.78	6478.42	3805.34	2123.71	1574.43	500.576	286.223	813.047	1627.29	1533.45	1292.96	1056.55	746.06	939.832	1087.05	1187.24	1239.81	1229.67	942.26	768.335	765.214	883.802
CNAG_00111	884.391	1193.99	1187.35	1344.86	1684.65	2345.28	2994.16	2761.67	2471.06	2128.83	1964.76	1985.73	2331.34	2283.43	2189.17	2111.07	1973.36	1896.12	1979.39	1967.51	2008.42	2047.18	1985.94	1741.23
CNAG_00115	5356.52	3372.35	527.559	224.995	377.783	412.248	429.243	450.041	591.618	958.249	1357.09	2005.11	2111.39	2145.73	2055.75	1935.41	2099.32	2449.4	2812.76	2857.27	2685.37	2678.96	2560.97	2539.6
CNAG_00116	15328.2	29780.9	61260.7	38029.1	115443	96206	92290.9	86768.3	113351	97912.3	53073.6	65989.6	94389.8	90158.4	88970.9	37928.9	82487.2	78947.5	68444.3	69237.9	68429	66134.7	66480.8	63625.5
